"","y","m","state","county","mean_spi"
"351","2014",5,"Northern Bahr el Ghazal","Aweil East",0.860350184519226
"352","2014",5,"Northern Bahr el Ghazal","Aweil North",1.01993508053066
"353","2014",5,"Northern Bahr el Ghazal","Aweil South",1.58555375300126
"354","2014",5,"Northern Bahr el Ghazal","Aweil West",0.999896456807201
"355","2014",5,"Unity","Abiemnhom",0.834323805256026
"356","2014",5,"Unity","Guit",1.21296059982444
"357","2014",5,"Unity","Koch",1.88589410316077
"358","2014",5,"Unity","Leer",1.76094053639229
"359","2014",5,"Unity","Mayendit",1.74961371268887
"360","2014",5,"Unity","Mayom",1.42139508932274
"361","2014",5,"Unity","Panyijiar",0.763445637440342
"362","2014",5,"Unity","Pariang",0.884210899764974
"363","2014",5,"Unity","Rubkona",1.14277914501608
"364","2014",5,"Upper Nile","Baliet",0.875584548162652
"365","2014",5,"Upper Nile","Fashoda",0.342586089104305
"366","2014",5,"Upper Nile","Longochuk",1.06685868705448
"367","2014",5,"Upper Nile","Luakpiny/Nasir",1.01292749931434
"368","2014",5,"Upper Nile","Maban",1.07911226367848
"369","2014",5,"Upper Nile","Maiwut",0.68623586621594
"370","2014",5,"Upper Nile","Malakal",0.645033426833811
"371","2014",5,"Upper Nile","Manyo",0.910460799763575
"372","2014",5,"Upper Nile","Melut",0.772489293087314
"373","2014",5,"Upper Nile","Panyikang",0.685710825590016
"374","2014",5,"Upper Nile","Renk",1.08634190102246
"375","2014",5,"Upper Nile","Ulang",1.02140576046672
"376","2014",5,"Warrap","Gogrial East",1.67225355448643
"377","2014",5,"Warrap","Gogrial West",1.74498744767107
"378","2014",5,"Warrap","Tonj East",1.11037778401417
"379","2014",5,"Warrap","Tonj North",1.49447654407353
"380","2014",5,"Warrap","Tonj South",0.683443224971165
"381","2014",5,"Warrap","Twic",1.37007665360122
"382","2014",5,"Western Bahr el Ghazal","Jur River",1.14934910156736
"383","2014",5,"Western Bahr el Ghazal","Raja",0.873169771195673
"384","2014",5,"Western Bahr el Ghazal","Wau",0.800975268639242
"385","2014",5,"Western Equatoria","Ezo",0.222811529242554
"386","2014",5,"Western Equatoria","Ibba",0.709399135040426
"387","2014",5,"Western Equatoria","Maridi",0.0709298306357841
"388","2014",5,"Western Equatoria","Mundri East",0.330709603829246
"389","2014",5,"Western Equatoria","Mundri West",0.109926450110361
"390","2014",5,"Western Equatoria","Mvolo",0.567536023958587
"391","2014",5,"Western Equatoria","Nagero",0.360366798065992
"392","2014",5,"Western Equatoria","Nzara",0.617101153986087
"393","2014",5,"Western Equatoria","Tambura",0.361778610223477
"394","2014",5,"Western Equatoria","Yambio",0.840229112571075
"395","2014",5,"Warrap","Abyei Region",0.641984542137569
"396","2014",6,"Central Equatoria","Juba",0.543027917589015
"397","2014",6,"Central Equatoria","Kajo-keji",0.207511971810036
"398","2014",6,"Central Equatoria","Lainya",0.188291195395741
"399","2014",6,"Central Equatoria","Morobo",-0.309114770270912
"400","2014",6,"Central Equatoria","Terekeka",-0.416983366389034
"401","2014",6,"Central Equatoria","Yei",0.106430352041261
"402","2014",6,"Eastern Equatoria","Budi",-0.220293823619287
"403","2014",6,"Eastern Equatoria","Ikotos",0.129577701190145
"404","2014",6,"Eastern Equatoria","Kapoeta East",-0.0442076925216303
"405","2014",6,"Eastern Equatoria","Kapoeta North",0.276756605088711
"406","2014",6,"Eastern Equatoria","Kapoeta South",-0.376722574010616
"407","2014",6,"Eastern Equatoria","Lafon",0.578344548148627
"408","2014",6,"Eastern Equatoria","Magwi",0.823341332624136
"409","2014",6,"Eastern Equatoria","Torit",0.917859703495034
"410","2014",6,"Jonglei","Akobo",-0.270073188728351
"411","2014",6,"Jonglei","Ayod",0.461017244667251
"412","2014",6,"Jonglei","Bor South",-0.590426459221407
"413","2014",6,"Jonglei","Canal/Pigi",0.508408182120663
"414","2014",6,"Jonglei","Duk",-0.115363772586003
"415","2014",6,"Jonglei","Fangak",1.26979370339693
"416","2014",6,"Jonglei","Nyirol",0.49624653305681
"417","2014",6,"Jonglei","Pibor",-0.40358368008172
"418","2014",6,"Jonglei","Pochalla",-0.0490721712156777
"419","2014",6,"Jonglei","Twic East",-0.706732049478995
"420","2014",6,"Jonglei","Uror",-0.519652685071046
"421","2014",6,"Lakes","Awerial",-0.473812022114254
"422","2014",6,"Lakes","Cueibet",0.611022757662536
"423","2014",6,"Lakes","Rumbek Centre",0.57910899957006
"424","2014",6,"Lakes","Rumbek East",0.356191323655945
"425","2014",6,"Lakes","Rumbek North",0.111900090122746
"426","2014",6,"Lakes","Wulu",0.59057794615543
"427","2014",6,"Lakes","Yirol East",-0.280635440593768
"428","2014",6,"Lakes","Yirol West",-0.0936675455778465
"429","2014",6,"Northern Bahr el Ghazal","Aweil Centre",-0.489656689507069
"430","2014",6,"Northern Bahr el Ghazal","Aweil East",0.0990560662930351
"431","2014",6,"Northern Bahr el Ghazal","Aweil North",0.458001322668
"432","2014",6,"Northern Bahr el Ghazal","Aweil South",-0.4978675695181
"433","2014",6,"Northern Bahr el Ghazal","Aweil West",0.451349792186847
"434","2014",6,"Unity","Abiemnhom",1.6913916700126
"435","2014",6,"Unity","Guit",1.70120371413525
"436","2014",6,"Unity","Koch",1.07839190369172
"437","2014",6,"Unity","Leer",0.402628748365253
"438","2014",6,"Unity","Mayendit",0.539480470124354
"439","2014",6,"Unity","Mayom",1.01033920295624
"440","2014",6,"Unity","Panyijiar",-0.276372344570338
"441","2014",6,"Unity","Pariang",1.39525511173564
"442","2014",6,"Unity","Rubkona",1.67001753895245
"443","2014",6,"Upper Nile","Baliet",0.175270610868151
"444","2014",6,"Upper Nile","Fashoda",0.71675401713372
"445","2014",6,"Upper Nile","Longochuk",-0.513136334138636
"446","2014",6,"Upper Nile","Luakpiny/Nasir",0.144215175732058
"447","2014",6,"Upper Nile","Maban",-1.31658224765593
"448","2014",6,"Upper Nile","Maiwut",-0.46395662226783
"449","2014",6,"Upper Nile","Malakal",0.535145832777769
"450","2014",6,"Upper Nile","Manyo",0.0394447040120291
"451","2014",6,"Upper Nile","Melut",-0.316446957107073
"452","2014",6,"Upper Nile","Panyikang",0.873609501734683
"453","2014",6,"Upper Nile","Renk",-0.402968122295661
"454","2014",6,"Upper Nile","Ulang",0.322393801165641
"455","2014",6,"Warrap","Gogrial East",0.140929650678898
"456","2014",6,"Warrap","Gogrial West",-0.220889108254356
"457","2014",6,"Warrap","Tonj East",0.100194210772939
"458","2014",6,"Warrap","Tonj North",0.245957236330809
"459","2014",6,"Warrap","Tonj South",0.571481505754778
"460","2014",6,"Warrap","Twic",-0.313237475558593
"461","2014",6,"Western Bahr el Ghazal","Jur River",0.265012182020274
